id,Date,User,Tweet,Media,Likes,Retweets,Comments
32,2022-06-24 02:10:42+00:00,amconmag,A new biography of one of Russia’s great choreographers reveals as much about the society she lived in as about the subject herself. https://t.co/WKpCAlLYx4,,2,3,0
33,2022-06-23 23:06:10+00:00,amconmag,"'Decolonizing Russia,' media managing the narrative, and the bankruptcy of our institutions https://t.co/0HU4wmS4mW",,3,0,0
34,2022-06-22 12:22:37+00:00,amconmag,A new biography of one of Russia’s great choreographers reveals as much about the society she lived in as about the subject herself. https://t.co/IXlhSzDDDo,,1,0,0
35,2022-06-21 16:37:30+00:00,amconmag,"Tomorrow, TAC Executive Director @EADoak joins @MZHemingway, @ssharmaUS, and George Beebe for a panel discussion moderated by @RStatecraft's 
@KelleyBVlahos on the Russia-Ukraine conflict and the right's shifting foreign-policy debate.

Register here:
https://t.co/xFEjyumXAH",,7,6,0
36,2022-06-18 12:07:35+00:00,amconmag,"“Because Russia has violated the Budapest Memorandum, I believe that we, as the West, would have the right to give Ukraine nuclear warheads.” https://t.co/kcpotl44ph",,4,2,0
37,2022-06-17 04:06:11+00:00,amconmag,"“Because Russia has violated the Budapest Memorandum, I believe that we, as the West, would have the right to give Ukraine nuclear warheads.” https://t.co/qij74UXm5H",,3,1,1
38,2022-06-16 12:33:38+00:00,amconmag,"“Because Russia has violated the Budapest Memorandum, I believe that we, as the West, would have the right to give Ukraine nuclear warheads.” https://t.co/g4FB1judag",,3,0,0
39,2022-06-16 09:35:43+00:00,amconmag,"“Because Russia has violated the Budapest Memorandum, I believe that we, as the West, would have the right to give Ukraine nuclear warheads.” https://t.co/PwwoiuOM0X",,1,0,0
40,2022-05-20 02:15:34+00:00,amconmag,"“I know I keep saying that the totalitarian impulse ruining liberal democratic society today is like unto the Soviet Union, but they didn’t go that far even in Soviet Russia.” https://t.co/geFH1zkzK1",,16,6,1
41,2022-05-18 14:45:43+00:00,amconmag,"“I know I keep saying that the totalitarian impulse ruining liberal democratic society today is like unto the Soviet Union, but they didn’t go that far even in Soviet Russia.” https://t.co/7gE5P4cDM8",,4,2,0
42,2022-05-12 13:33:24+00:00,amconmag,"Polish military intervention would confront NATO members with the specter of war with Russia, the very development most NATO members oppose. https://t.co/ExaX56v91q",,3,2,2
43,2022-05-12 01:02:22+00:00,amconmag,"Polish military intervention would confront NATO members with the specter of war with Russia, the very development most NATO members oppose. https://t.co/Lo0l51QukH",,3,1,1
44,2022-05-10 20:23:32+00:00,amconmag,"Polish military intervention would confront NATO members with the specter of war with Russia, the very development most NATO members oppose. https://t.co/sotmHTpf9W",,6,4,1
45,2022-04-26 01:10:15+00:00,amconmag,"“There is no dependency on Russia, certainly not in energy matters.” https://t.co/ByxYaVV0Kp",,5,0,0
46,2022-04-25 12:14:28+00:00,amconmag,"“There is no dependency on Russia, certainly not in energy matters.” https://t.co/Phmt6mJq4B",,2,1,0
47,2022-04-21 19:49:56+00:00,amconmag,"“If Russia’s tactics become more desperate as the conflict lingers on, what Nance and his comrades in the ILDU are doing in Ukraine has the potential to become an overt war between the U.S. and Russia.” https://t.co/Eq5YC06g5R",,1,0,1
48,2022-04-20 22:57:59+00:00,amconmag,"“If China breaches again, Russia will not come running to India’s defense.” https://t.co/kkNjIVsxkc",,4,0,1
