id,Date,User,Tweet,Media,Likes,Retweets,Comments
25,2022-11-29 20:57:49+00:00,POTUS,"Finding common ground is crucial to funding the government, COVID, and the war in Ukraine – and resolving the train strike.
 
That’s why this morning, @VP and I met with the top leaders in Congress to get things done for the American people. https://t.co/driKYAEEsv",https://pbs.twimg.com/media/FiwoXMxWAAASOK6?format=jpg&name=large,7958,1545,2698
26,2022-11-29 19:33:38+00:00,POTUS,"Our releases from the Strategic Petroleum Reserve – and my call for global partners to release reserves of their own – have helped gas prices drop below where they were prior to Putin’s invasion of Ukraine.
 
We're blunting Putin's price hike.",,16430,3304,20357
27,2022-11-16 05:04:11+00:00,POTUS,"We also reaffirmed our continued readiness to hold Russia accountable for its brazen attacks on Ukraine, even as the G20 meets to deal with the wider impacts of the war.
 
And we all express our condolences to the families of the victims in Poland and Ukraine.",,9457,1365,804
28,2022-11-15 00:30:00+00:00,POTUS,"This week’s travel has brought together the broadest possible coalition of partners to confront this moment of great global challenges — from global inflation, to the climate crisis, to Russia’s brutal war against Ukraine.",,18104,3120,2578
29,2022-10-25 13:25:01+00:00,POTUS,"Congratulations to Rishi Sunak on becoming Prime Minister of the United Kingdom.

Together, I look forward to enhancing our cooperation on issues critical to global security and prosperity, including continuing our strong support for Ukraine.",,23221,2907,2382
30,2022-10-20 14:45:01+00:00,POTUS,"I thank Prime Minister Liz Truss for her partnership on a range of issues including holding Russia accountable for its war against Ukraine.

We will continue our close cooperation with the U.K. government as we work together to meet the global challenges our nations face.",,13568,1828,2045
31,2022-10-11 14:55:01+00:00,POTUS,"This morning, I spoke with President Zelenskyy and G7 Leaders about our unwavering commitment to hold Russia accountable for its war and support Ukraine for as long as it takes. https://t.co/SzXLWyjjeq",https://pbs.twimg.com/media/Fey_bPOX0AAWszp?format=jpg&name=large,56138,7761,10602
32,2022-10-10 17:51:49+00:00,POTUS,"The U.S. condemns Russia's missile strikes today across Ukraine which injured and killed civilians and demonstrated once again the brutality of Putin’s illegal war.

These attacks only reinforce our commitment to stand with the people of Ukraine for as long as it takes.",,83714,13683,10919
33,2022-10-04 17:41:29+00:00,POTUS,We remain ready to impose severe costs on any entity that supports Russia’s purported annexation and will continue to rally the world behind Ukraine’s efforts to defend its democracy.,,16281,2216,1298
34,2022-10-04 17:41:28+00:00,POTUS,"Today I spoke with President Zelenskyy to underscore that the U.S. will never recognize Russia’s purported annexation of Ukrainian territory.

I reaffirmed my commitment to continue supporting Ukraine, including through today's new $625 million security assistance package. https://t.co/0ZP2uopn4n",https://pbs.twimg.com/media/FePiZDjWIAY_9VQ?format=jpg&name=large,57129,6699,9859
35,2022-09-21 21:56:15+00:00,POTUS,"Today I sat down with United Kingdom Prime Minister Liz Truss.

We spoke about the life of Her Majesty Queen Elizabeth II and a range of shared challenges including Russia’s war in Ukraine, challenges posed by China, and securing sustainable and affordable energy supplies. https://t.co/tr0dBRFeJ7",https://pbs.twimg.com/media/FdNgCj9X0AMGXTj?format=jpg&name=large,10787,1275,1288
