date,polarity
2022-09-29 06:28:33+00:00,0.832050294337844
2022-06-23 14:37:27+00:00,0
2022-03-02 20:25:44+00:00,0
2022-02-25 19:56:41+00:00,0
2022-02-25 19:28:55+00:00,-0.0870388279778489
2022-02-25 08:46:51+00:00,0
2022-02-24 21:49:38+00:00,0
2022-02-24 12:35:13+00:00,0
2022-12-08 07:19:19+00:00,0
2022-10-01 09:05:11+00:00,0
2022-09-20 07:02:59+00:00,0
2022-09-18 15:17:17+00:00,0
2022-09-15 15:02:11+00:00,-0.188982236504614
2022-08-02 13:49:11+00:00,0
2022-07-21 18:54:29+00:00,0
2022-07-10 12:01:44+00:00,0
2022-07-10 10:51:30+00:00,0.15
2022-06-16 07:12:45+00:00,0
2022-06-01 12:15:17+00:00,0
2022-05-19 18:08:07+00:00,0
2022-05-18 07:26:07+00:00,0
2022-04-18 20:54:02+00:00,0
2022-04-14 06:06:16+00:00,0
2022-04-07 06:33:28+00:00,0
2022-04-06 06:31:16+00:00,-0.2
2022-04-05 07:18:22+00:00,0
2022-04-04 06:51:57+00:00,0
2022-04-03 15:37:33+00:00,0
2022-04-01 20:01:14+00:00,0
2022-03-25 18:15:11+00:00,0
2022-03-24 21:24:15+00:00,-0.176776695296637
2022-03-24 20:54:47+00:00,-0.228191648776699
2022-03-24 20:51:11+00:00,0
2022-03-14 21:30:29+00:00,-0.0944911182523068
2022-03-14 12:30:39+00:00,-0.058925565098879
2022-03-13 11:41:08+00:00,0
2022-03-08 10:53:51+00:00,-0.382970843102535
2022-03-07 19:59:34+00:00,-0.235702260395516
2022-03-05 16:21:23+00:00,0
2022-03-03 20:57:21+00:00,-0.087287156094397
2022-03-03 20:35:02+00:00,0
2022-03-01 21:22:00+00:00,-0.0883883476483184
2022-03-01 21:10:41+00:00,0
2022-03-01 20:26:17+00:00,0
2022-02-25 09:18:11+00:00,-0.229415733870562
2022-02-25 08:58:31+00:00,0.223606797749979
2022-02-25 08:53:44+00:00,0
2022-02-25 08:27:53+00:00,0
2022-02-25 07:50:17+00:00,0
2022-02-24 20:25:12+00:00,0
2022-02-24 09:03:47+00:00,0.204124145231932
2022-10-01 19:24:11+00:00,0
2022-09-08 11:38:22+00:00,0
2022-05-13 09:09:28+00:00,0
2022-03-08 20:43:07+00:00,0
2022-03-08 20:31:37+00:00,0
2023-01-17 08:18:42+00:00,-0.242535625036333
2023-01-15 11:38:29+00:00,0
2023-01-11 07:31:11+00:00,0
2022-12-25 08:16:10+00:00,-0.451848057057532
2022-12-17 07:44:21+00:00,0
2022-12-16 07:29:52+00:00,-0.138675049056307
2022-11-30 18:25:58+00:00,0
2022-11-29 09:00:12+00:00,0
2022-11-27 11:02:58+00:00,0
