date,polarity
2023-02-14 12:07:48+00:00,0.0223606797749979
2023-02-14 09:31:43+00:00,0
2023-02-14 06:23:57+00:00,0
2023-02-13 21:42:00+00:00,0
2023-02-13 17:11:55+00:00,0
2023-02-13 15:18:54+00:00,0
2023-02-13 08:13:29+00:00,0
2023-02-13 05:49:43+00:00,0
2023-02-10 16:05:31+00:00,0
2023-02-10 15:46:20+00:00,-0.0573539334676404
2023-02-10 12:36:59+00:00,0
2023-02-10 10:59:41+00:00,0
2023-02-10 10:11:53+00:00,-0.25
2023-02-10 08:38:56+00:00,0
2023-02-10 08:18:49+00:00,0
2023-02-09 21:39:59+00:00,0
2023-02-09 21:33:14+00:00,-0.316227766016838
2023-02-09 18:28:34+00:00,0
2023-02-09 17:41:13+00:00,0
2023-02-09 17:38:01+00:00,0.115470053837925
2023-02-09 16:12:04+00:00,0
2023-02-08 21:33:02+00:00,0
2023-02-08 19:46:44+00:00,0
2023-02-08 19:39:22+00:00,0.058925565098879
2023-02-08 18:44:39+00:00,0.129099444873581
2023-02-08 18:43:57+00:00,0
2023-02-08 15:41:38+00:00,0
2023-02-07 08:01:12+00:00,0
2023-02-05 07:12:29+00:00,0
2023-02-04 06:41:19+00:00,0
2023-02-03 13:48:27+00:00,0
2023-02-03 13:06:13+00:00,0
2023-02-02 12:11:25+00:00,0
2023-02-02 06:10:50+00:00,0
2023-02-01 17:22:20+00:00,0
2023-02-01 13:34:45+00:00,0
2023-02-01 11:27:49+00:00,0
2023-02-01 11:02:56+00:00,-0.25
2023-02-01 07:41:22+00:00,0
2023-02-01 07:32:15+00:00,0
2023-01-31 12:47:45+00:00,0
2023-01-31 10:50:56+00:00,0
2023-01-30 13:20:08+00:00,0
2023-01-30 08:06:01+00:00,0
2023-01-27 20:45:19+00:00,0
2023-01-27 16:44:42+00:00,0.166666666666667
2023-01-27 15:19:03+00:00,0
2023-01-27 13:02:13+00:00,0
2023-01-27 11:17:41+00:00,0
2023-01-26 22:25:02+00:00,0
2023-01-26 18:24:23+00:00,0
2023-01-26 16:44:59+00:00,0
2023-01-26 15:02:52+00:00,-0.353553390593274
2023-01-26 12:49:45+00:00,0
2023-01-26 01:58:56+00:00,0
2023-01-25 18:37:04+00:00,0
2023-01-25 13:30:52+00:00,0
2023-01-25 07:57:41+00:00,0
2023-01-24 16:12:02+00:00,0
2023-01-24 11:41:46+00:00,0
2023-01-23 17:46:29+00:00,-0.353553390593274
2023-01-23 17:19:40+00:00,0
2023-01-23 16:23:14+00:00,0
2023-01-23 15:04:55+00:00,0
2023-01-23 14:31:35+00:00,0
2023-01-23 09:58:20+00:00,-0.301511344577764
2023-01-21 16:05:41+00:00,0
2023-01-20 19:47:39+00:00,0
2023-01-20 08:40:02+00:00,0
2023-01-20 08:29:37+00:00,-0.189736659610103
2023-01-19 17:42:26+00:00,0
2023-01-19 14:08:54+00:00,0
2023-01-19 10:24:20+00:00,0
2023-01-19 08:46:28+00:00,0
2023-01-18 17:12:50+00:00,0
2023-01-18 14:20:20+00:00,0
2023-01-18 11:12:49+00:00,0
2023-01-17 10:10:18+00:00,0
2023-01-17 09:27:04+00:00,-0.2
2023-01-16 21:27:29+00:00,0
2023-01-16 18:11:31+00:00,0
2023-01-16 06:02:04+00:00,0
2023-01-15 13:50:01+00:00,0
2023-01-13 20:47:28+00:00,0
2023-01-13 18:31:36+00:00,-0.0472455591261534
2023-01-13 12:54:14+00:00,0
2023-01-13 10:59:37+00:00,0
2023-01-12 19:56:55+00:00,0
2023-01-12 12:42:07+00:00,0
2023-01-11 16:34:49+00:00,0
2023-01-11 15:14:52+00:00,0
2023-01-11 14:00:08+00:00,0
2023-01-10 14:10:27+00:00,-0.25
2023-01-09 15:40:28+00:00,0
2023-01-06 19:28:36+00:00,0
2023-01-06 15:32:07+00:00,0
2023-01-06 14:28:51+00:00,0.206559111797729
2023-01-05 16:45:59+00:00,0.125
2023-01-05 12:13:22+00:00,0
2023-01-05 12:07:22+00:00,0
2023-01-05 12:00:53+00:00,0
2023-01-05 06:10:04+00:00,0
2023-01-04 14:07:57+00:00,0
2023-01-03 14:50:33+00:00,0
2023-01-02 18:44:21+00:00,0
2023-01-02 13:59:50+00:00,0
2022-12-31 15:22:07+00:00,0
2022-12-31 08:16:07+00:00,0
2022-12-31 07:50:10+00:00,0
2022-12-30 08:57:42+00:00,0
2022-12-29 18:36:02+00:00,0
2022-12-28 15:26:42+00:00,-0.265165042944955
2022-12-28 06:45:29+00:00,0
2022-12-28 02:41:11+00:00,-0.125108648434245
2022-12-27 13:42:20+00:00,0
2022-12-27 08:01:40+00:00,0
2022-12-27 07:24:54+00:00,0
2022-12-26 13:49:16+00:00,0
2022-12-26 13:20:14+00:00,0
2022-12-26 12:34:44+00:00,0
2022-12-26 07:30:38+00:00,0
2022-12-26 07:29:23+00:00,0
2022-12-22 16:09:53+00:00,0
2022-12-22 13:55:16+00:00,-0.244948974278318
2022-12-22 10:05:00+00:00,0
2022-12-22 04:53:37+00:00,0
2022-12-21 09:20:59+00:00,0
2022-12-21 09:08:37+00:00,0
2022-12-21 08:07:44+00:00,0
2022-12-20 13:30:16+00:00,0
2022-12-20 06:09:44+00:00,0
2022-12-19 11:24:16+00:00,0
2022-12-19 09:50:17+00:00,0
2022-12-17 03:31:19+00:00,0
2022-12-16 16:39:21+00:00,0
2022-12-16 10:39:27+00:00,0
2022-12-15 16:47:42+00:00,0
2022-12-14 10:07:15+00:00,0
2022-12-14 09:26:14+00:00,0
2022-12-12 16:20:06+00:00,0
2022-12-12 15:34:09+00:00,0
2022-12-12 07:26:52+00:00,0
2022-12-12 06:43:14+00:00,0
2022-12-10 13:32:27+00:00,-0.180906806746658
2022-12-09 17:57:38+00:00,0
2022-12-09 14:32:51+00:00,-0.377964473009227
2022-12-09 11:58:12+00:00,0
2022-12-09 11:13:11+00:00,0
2022-12-09 10:40:28+00:00,0
2022-12-08 15:31:01+00:00,0
2022-12-08 14:24:13+00:00,0
2022-12-08 13:32:56+00:00,0
2022-12-07 15:50:48+00:00,0
2022-12-07 12:44:38+00:00,0
2022-12-07 11:23:08+00:00,0.163299316185545
2022-12-06 19:36:22+00:00,0
2022-12-06 12:27:48+00:00,0
2022-12-06 10:34:26+00:00,0
2022-12-05 14:58:37+00:00,0
2022-12-05 08:10:25+00:00,-0.172061800402921
2022-12-05 06:06:32+00:00,0
2022-12-04 16:11:30+00:00,0
2022-12-03 04:53:13+00:00,0
2022-12-02 18:10:25+00:00,0
2022-12-02 12:46:56+00:00,0
2022-12-02 12:36:15+00:00,0
2022-12-02 09:16:34+00:00,0
2022-12-01 17:01:11+00:00,0
2022-12-01 13:55:41+00:00,0
2022-12-01 11:07:04+00:00,0
2022-12-01 10:37:07+00:00,0
2022-11-30 17:08:00+00:00,0
2022-11-29 17:25:20+00:00,0
2022-11-29 13:35:33+00:00,0
2022-11-29 10:33:17+00:00,-0.223606797749979
2022-11-29 10:07:56+00:00,0.23094010767585
2022-11-29 09:59:49+00:00,0
2022-11-29 07:56:38+00:00,0
2022-11-28 15:18:11+00:00,0.176776695296637
2022-11-28 13:40:44+00:00,0
2022-11-25 16:11:33+00:00,0
2022-11-25 13:47:15+00:00,0
2022-11-24 20:54:27+00:00,0
2022-11-24 19:27:33+00:00,0
2022-11-24 13:58:30+00:00,0
2022-11-23 16:25:31+00:00,0
2022-11-23 15:12:39+00:00,0
2022-11-23 14:36:18+00:00,0
2022-11-23 11:23:53+00:00,0
2022-11-23 11:09:30+00:00,-0.132582521472478
2022-11-23 09:47:25+00:00,0
2022-11-23 07:57:37+00:00,0
2022-11-21 11:17:51+00:00,-0.277350098112615
2022-11-21 11:05:43+00:00,0.192450089729875
2022-11-18 21:00:58+00:00,0
2022-11-18 11:53:34+00:00,0
2022-11-18 09:00:10+00:00,0
2022-11-17 21:58:15+00:00,0
2022-11-17 17:43:46+00:00,0
2022-11-17 14:44:37+00:00,0
2022-11-17 14:20:27+00:00,0
2022-11-17 09:34:22+00:00,0
2022-11-17 06:09:45+00:00,0.259807621135332
2022-11-16 18:49:02+00:00,0.0866025403784439
2022-11-16 09:53:26+00:00,0
2022-11-16 07:59:04+00:00,-0.0832050294337844
2022-11-16 06:59:45+00:00,0
2022-11-16 06:33:38+00:00,0
2022-11-15 16:52:49+00:00,-0.301511344577764
2022-11-15 14:48:37+00:00,-0.268328157299975
2022-11-15 11:42:51+00:00,0
2022-11-15 05:33:41+00:00,0
2022-11-14 21:35:50+00:00,0
2022-11-14 19:47:07+00:00,0
2022-11-14 18:25:05+00:00,0
2022-11-14 16:19:02+00:00,0
2022-11-14 13:55:59+00:00,0
2022-11-14 12:21:53+00:00,-0.180906806746658
2022-11-14 11:15:23+00:00,0
2022-11-14 10:25:28+00:00,0
2022-11-14 06:04:57+00:00,-0.120604537831105
2022-11-11 17:51:34+00:00,-0.178885438199983
2022-11-11 16:30:28+00:00,0
2022-11-11 12:25:47+00:00,-0.109108945117996
2022-11-11 12:24:26+00:00,-0.422115882408869
2022-11-11 07:54:49+00:00,0
2022-11-10 12:22:57+00:00,0
2022-11-10 11:53:11+00:00,0
2022-11-10 11:04:30+00:00,0
2022-11-10 09:24:29+00:00,0
2022-11-08 14:25:20+00:00,0
2022-11-08 07:41:57+00:00,0
2022-11-07 16:04:55+00:00,0
2022-11-07 06:54:06+00:00,0
2022-11-06 10:12:58+00:00,0
2022-11-04 21:23:53+00:00,0
2022-11-04 18:09:51+00:00,-0.29459415181859
2022-11-04 11:11:16+00:00,0
2022-11-04 06:36:30+00:00,0
2022-11-03 18:24:25+00:00,0
2022-11-02 19:46:44+00:00,0
2022-11-02 18:45:05+00:00,0
2022-11-02 16:25:58+00:00,0
2022-11-02 14:42:34+00:00,0
2022-11-02 14:38:22+00:00,0.229415733870562
2022-11-02 13:22:56+00:00,0
2022-11-02 11:58:14+00:00,-0.176776695296637
2022-11-02 08:11:14+00:00,0
2022-11-01 20:45:41+00:00,0
2022-11-01 14:10:23+00:00,0
2022-11-01 13:52:37+00:00,0
2022-10-31 21:16:20+00:00,0
2022-10-31 19:02:11+00:00,-0.125108648434245
2022-10-31 18:24:23+00:00,0
2022-10-31 18:08:05+00:00,0
2022-10-31 15:30:23+00:00,0
2022-10-31 14:33:34+00:00,-0.1455213750218
2022-10-30 09:55:05+00:00,0
2022-10-29 15:06:11+00:00,0.288675134594813
2022-10-27 16:01:34+00:00,0.0316227766016838
2022-10-27 11:32:29+00:00,0
2022-10-27 09:23:48+00:00,0
2022-10-26 10:12:32+00:00,0
2022-10-26 09:00:06+00:00,0
2022-10-25 12:58:59+00:00,0
2022-10-25 09:42:06+00:00,-0.192153784566105
2022-10-25 06:06:01+00:00,-0.137649440322337
2022-10-24 16:17:59+00:00,0
2022-10-24 11:43:54+00:00,0
2022-10-24 10:56:08+00:00,0
2022-10-24 10:51:35+00:00,-0.134164078649987
2022-10-24 09:59:51+00:00,0
2022-10-24 05:17:50+00:00,0
2022-10-21 18:23:04+00:00,0
2022-10-21 14:59:24+00:00,0
2022-10-21 14:34:15+00:00,0
2022-10-21 10:05:02+00:00,0
2022-10-21 09:25:19+00:00,0
2022-10-21 08:10:59+00:00,0
2022-10-21 07:49:31+00:00,0
2022-10-20 19:04:04+00:00,0
2022-10-20 18:29:14+00:00,0
2022-10-20 18:11:27+00:00,0
2022-10-20 10:16:17+00:00,0
2022-10-19 14:47:39+00:00,0
2022-10-19 11:01:05+00:00,0
2022-10-19 09:08:49+00:00,0
2022-10-18 22:01:10+00:00,0
2022-10-18 17:03:58+00:00,0
2022-10-18 16:47:12+00:00,-0.25
2022-10-18 16:16:23+00:00,0
2022-10-18 15:49:59+00:00,0
2022-10-18 15:20:45+00:00,0
2022-10-18 15:06:39+00:00,-0.15
2022-10-18 14:34:54+00:00,0
2022-10-18 09:38:41+00:00,0
2022-10-18 06:31:55+00:00,-0.176776695296637
2022-10-17 17:30:31+00:00,0
