id,Date,User,Tweet,Media,Likes,Retweets,Comments
36,2013-09-04 15:20:56+00:00,amspectator,"RT @mkhammer: Classic. RT @nytimes: ""I didn't set a red line. The world set a red line."" - President Obama on Syria  http://t.co/tUrH8bOC21",,1,2,3
37,2013-09-04 14:30:35+00:00,amspectator,To President #BarackObama and Speaker #Boehner: why not fix your own country? Address our own moral evils? #Syria http://t.co/aZmfFRfc3G,,4,6,0
38,2013-09-04 00:00:55+00:00,amspectator,What are the benefits of entering the hell of #Syria? http://t.co/dAbLNGL7VC,,1,1,0
39,2013-09-03 19:07:08+00:00,amspectator,"#Kerry, #Hagel, and #Dempsey on @cspan now testifying for use of force in #Syria: http://t.co/1pLCymzrCd",,1,1,1
40,2013-09-03 18:45:15+00:00,amspectator,"What could military intervention possibly do in #Syria? For all the costs to America, what are the benefits? 
 http://t.co/FQvqNyZcIt",,4,9,6
41,2013-09-03 14:10:12+00:00,amspectator,How is bombing #Syria related to American national security? @rr_reno  http://t.co/Fn8YPh0k5V,,2,3,3
42,2013-09-03 12:01:09+00:00,amspectator,@DanielLarison Congress shouldn't approve #Syria action because it doesn't affect U.S. security--Doug Bandow http://t.co/pn5XdqN652,,1,0,0
43,2013-08-30 12:21:19+00:00,amspectator,#FF Our #Syria experts: @johntabin @jedbabbin @MattPurple @sethlipsky @KaylinBugos #tcot,,0,0,1
44,2013-08-29 21:30:43+00:00,amspectator,"Ben Stein on bombing #Syria: Oh, great. Destroy #Assad so that we can give #AlQaeda chemical weapons.  http://t.co/q97OA0ICeU",,3,23,4
45,2013-08-29 17:20:42+00:00,amspectator,"RT @TheGattoniCelli: Me for @AmSpec: Sen Obama on Syria, Circa 2007 | @NJC_YAF http://t.co/rKxuc12Qct",,0,1,0
46,2013-08-29 14:34:56+00:00,amspectator,"Ben Stein on bombing #Syria: Oh, great. Destroy #Assad so that we can give #AlQaeda chemical weapons. @RCP_Articles http://t.co/q97OA0ICeU",,9,14,0
47,2013-08-28 22:00:41+00:00,amspectator,Should we bomb #Syria? 7 of our columnists discuss the benefits and costs.  http://t.co/JplioHQcif,,0,0,0
