id,Date,User,Tweet,Media,Likes,Retweets,Comments
104,2022-02-24 15:12:06+00:00,JLMelenchon,"On pèse ses mots dans une circonstance comme celle-là. C'est un tournant de l'Histoire. On ne peut accepter que les Russes entrent en #Ukraine.  

#AntenneReunion",,251,64,19
105,2022-02-24 13:42:15+00:00,JLMelenchon,"Il faut avancer en ayant à coeur l'intérêt de notre pays. Il y a plusieurs sujets sur lesquels on peut tous tomber d'accord : cessez-le-feu, retrait des troupes russes, échange sur la sécurité en Europe.  

#LCI #Ukraine #Russie",,390,128,15
106,2022-02-24 13:38:55+00:00,JLMelenchon,"Il y a un outil pour discuter. C'est l'OSCE, Organisation pour la Sécurité et la Coopération en Europe. Utilisons cette structure !  

#LCI #Ukraine #Russie",,429,135,21
107,2022-02-24 13:38:14+00:00,JLMelenchon,"Le non-alignement reste mon orientation politique. Quand on n'est pas aligné, cela ne veut pas dire être neutre. On n'est pas neutre quand un territoire est envahi sur le continent européen.  

#LCI #Ukraine #Russie",,463,165,20
108,2022-02-24 13:36:37+00:00,JLMelenchon,"Les Ukrainiens sont envahis. L'invasion russe en Ukraine change le cours de l'Histoire en Europe. C'est un recul terrible : un usage de la force sur le vieux continent.

#LCI #Ukraine #Russie",,442,150,17
109,2022-02-24 13:35:04+00:00,JLMelenchon,EN DIRECT - Attaque de la #Russie contre l’#Ukraine : réaction de @JLMelenchon sur #LCI https://t.co/Rs4itU87AM,,1501,710,136
110,2022-02-24 13:12:26+00:00,JLMelenchon,"Rendez-vous à 14h35 sur #LCI. 

#Ukraine #Russie #Macron https://t.co/qNb6cqZwJS",https://pbs.twimg.com/ext_tw_video_thumb/1496835006118780928/pu/img/hCqz0h0MO2raitQG.jpg,366,144,44
111,2022-02-24 12:58:37+00:00,JLMelenchon,"Communiqué suite à l'intervention d'Emmanuel #Macron. 

#Russie #Ukraine 

https://t.co/1q4BmFC0pA",,674,288,119
112,2022-02-24 09:32:59+00:00,JLMelenchon,"🔴 Je condamne la guerre de la Russie en Ukraine

➡️ https://t.co/I1t2wflsDq https://t.co/7A6Ds2jI17",https://pbs.twimg.com/media/FMWgbyrXIAYvvvj?format=jpg&name=large,2233,634,310
113,2022-02-24 06:35:30+00:00,JLMelenchon,🔴 Attaque de la #Russie en #Ukraine - Communiqué. https://t.co/FuM3cuhEsw,,2009,880,352
114,2022-05-30 16:07:31+00:00,fhollande,"J’apprends avec émotion la mort de Frédéric Leclerc-Imhoff, qui couvrait avec courage la guerre en Ukraine pour informer ses concitoyens de la réalité de ce terrible conflit. J’adresse toutes mes pensées à sa famille, ses proches et ses confrères.",,227,53,26
115,2022-04-05 08:20:24+00:00,fhollande,"Face aux atrocités commises par l’armée russe, dont les auteurs auront à répondre devant les tribunaux internationaux, les indignations répétées ne suffisent plus. Il faut renforcer l’aide militaire à l’Ukraine avec des avions et des systèmes antiaériens. https://t.co/SMAuaWZfN9",,289,86,132
